time,open,high,low,close
2019-12-31 19:00:00,144.188,144.224,144.014,144.018
2019-12-31 20:00:00,144.014,144.09,143.948,143.95
2019-12-31 21:00:00,143.95,143.959,143.775,143.827
2019-12-31 22:00:00,143.826,143.947,143.757,143.925
2019-12-31 23:00:00,143.927,143.927,143.927,143.927
2020-01-02 06:00:00,143.592,143.7,143.537,143.615
2020-01-02 07:00:00,143.613,143.684,143.557,143.68
2020-01-02 08:00:00,143.68,143.783,143.583,143.702
2020-01-02 09:00:00,143.712,143.9,143.692,143.804
2020-01-02 10:00:00,143.804,143.937,143.72,143.819
2020-01-02 11:00:00,143.812,143.906,143.765,143.814
2020-01-02 12:00:00,143.814,143.832,143.711,143.743
2020-01-02 13:00:00,143.743,143.745,143.478,143.57
2020-01-02 14:00:00,143.57,143.744,143.485,143.561
2020-01-02 15:00:00,143.561,143.561,143.159,143.212
2020-01-02 16:00:00,143.209,143.259,142.727,142.875
2020-01-02 17:00:00,142.873,142.985,142.666,142.796
2020-01-02 18:00:00,142.796,142.806,142.257,142.335
2020-01-02 19:00:00,142.335,142.54,142.304,142.538
2020-01-02 20:00:00,142.538,142.636,142.41,142.587
2020-01-02 21:00:00,142.586,142.618,142.501,142.506
2020-01-02 22:00:00,142.506,142.648,142.505,142.62
2020-01-02 23:00:00,142.62,142.646,142.564,142.581
2020-01-03 00:00:00,142.596,142.668,142.485,142.562
2020-01-03 01:00:00,142.562,142.775,142.519,142.695
2020-01-03 02:00:00,142.695,142.746,142.584,142.601
2020-01-03 03:00:00,142.601,142.659,142.087,142.143
2020-01-03 04:00:00,142.143,142.22,141.763,141.855
2020-01-03 05:00:00,141.852,142.106,141.802,142.098
2020-01-03 06:00:00,142.098,142.161,141.903,141.924
2020-01-03 07:00:00,141.924,141.989,141.776,141.865
2020-01-03 08:00:00,141.865,141.918,141.642,141.912
2020-01-03 09:00:00,141.909,141.909,141.188,141.305
2020-01-03 10:00:00,141.304,141.71,141.236,141.436
2020-01-03 11:00:00,141.437,141.485,141.191,141.213
2020-01-03 12:00:00,141.213,141.465,141.213,141.304
2020-01-03 13:00:00,141.303,141.324,140.994,141.06
2020-01-03 14:00:00,141.061,141.397,141.017,141.363
2020-01-03 15:00:00,141.363,141.748,141.363,141.38
2020-01-03 16:00:00,141.379,141.612,141.335,141.412
2020-01-03 17:00:00,141.412,141.547,141.189,141.213
2020-01-03 18:00:00,141.213,141.393,141.155,141.291
2020-01-03 19:00:00,141.291,141.344,141.196,141.301
2020-01-03 20:00:00,141.302,141.371,141.011,141.349
2020-01-03 21:00:00,141.36,141.387,141.242,141.253
2020-01-03 22:00:00,141.253,141.334,141.239,141.305
2020-01-03 23:00:00,141.304,141.377,141.294,141.344
2020-01-06 00:00:00,141.109,141.188,140.843,140.849
2020-01-06 01:00:00,140.849,141.227,140.823,141.184
2020-01-06 02:00:00,141.183,141.481,141.183,141.342
2020-01-06 03:00:00,141.342,141.352,141.121,141.176
